
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
0.319689,-0.402543,0.857763,um,Surface,Ellipsoid Axis B,1,ATMgroup,4,
-0.785234,-0.138905,0.603418,um,Surface,Ellipsoid Axis B,1,TVCgroup,0,
