
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,Default Labels,ID,
0.573972,,Cell,1,ATM,0,
0.606124,,Cell,1,ATM,1,
0.398227,,Cell,1,TVC,2,
0.209546,,Cell,1,TVC,3,
0.280041,,Cell,1,TVC,4,
0.31673,,Cell,1,TVC,5,
