
Cell Ellipsoid Axis Length B
 ==================== 
Cell Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
6.13174,um,Cell,1,TVC,2,
6.28262,um,Cell,1,TVC,3,
7.11021,um,Cell,1,TVC,4,
7.68492,um,Cell,1,TVC,5,
9.88779,um,Cell,1,ATM,6,
11.1106,um,Cell,1,ATM,7,
