
Cell Distance to Image Border XYZ Img=1
 ==================== 
Cell Distance to Image Border XYZ,Unit,Category,Image,Time,Default Labels,ID,
5.93472,um,Cell,Image 1,1,TVC,1,
8.47817,um,Cell,Image 1,1,TVC,3,
10.5977,um,Cell,Image 1,1,TVC,5,
11.4455,um,Cell,Image 1,1,TVC,6,
6.78254,um,Cell,Image 1,1,ATM,9,
6.78254,um,Cell,Image 1,1,ATM,10,
