
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
17.4243,um,Surface,1,TVCgroup,0,
37.2921,um,Surface,1,ATMgroup,4,
