
Nucleus Ellipsoid Axis Length A
 ==================== 
Nucleus Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,CellID,ID,
2.4814,um,Nucleus,1,TVC,0,100000000,
2.94526,um,Nucleus,1,TVC,1,100000001,
2.22385,um,Nucleus,1,TVC,3,100000003,
2.97075,um,Nucleus,1,TVC,6,100000006,
3.66314,um,Nucleus,1,ATM,8,100000008,
3.69754,um,Nucleus,1,ATM,9,100000009,
