
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
0.973735,-0.213056,0.0803002,um,Surface,Ellipsoid Axis C,1,ATMgroup,0,
0.149762,-0.978243,0.143567,um,Surface,Ellipsoid Axis C,1,TVCgroup,2,
