
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,Default Labels,ID,
0.451229,,Cell,1,ATM,0,
0.371718,,Cell,1,ATM,1,
0.518377,,Cell,1,TVC,4,
0.260955,,Cell,1,TVC,5,
0.243875,,Cell,1,TVC,6,
0.397442,,Cell,1,TVC,7,
