
Nucleus Distance from Origin
 ==================== 
Nucleus Distance from Origin,Unit,Category,Collection,Time,Default Labels,CellID,ID,
66032.8,um,Nucleus,Nucleus Distance from Origin,1,ATM,6,100000006,
66025.7,um,Nucleus,Nucleus Distance from Origin,1,ATM,7,100000007,
66023,um,Nucleus,Nucleus Distance from Origin,1,ATM,8,100000008,
66019.5,um,Nucleus,Nucleus Distance from Origin,1,ATM,12,100000012,
66016.5,um,Nucleus,Nucleus Distance from Origin,1,ATM,13,100000013,
66003.1,um,Nucleus,Nucleus Distance from Origin,1,TVC,0,100000000,
65996.4,um,Nucleus,Nucleus Distance from Origin,1,TVC,4,100000004,
