
Cell Ellipsoid Axis Length A
 ==================== 
Cell Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
5.88117,um,Cell,1,TVC,3,
6.02954,um,Cell,1,TVC,5,
6.0144,um,Cell,1,TVC,6,
7.20915,um,Cell,1,TVC,7,
7.00584,um,Cell,1,ATM,8,
6.72775,um,Cell,1,ATM,9,
