
Cell Area
 ==================== 
Cell Area,Unit,Category,Time,Default Labels,ID,
3126.46,um^2,Cell,1,ATM,1,
3686.22,um^2,Cell,1,ATM,2,
2143.68,um^2,Cell,1,TVC,3,
2515.78,um^2,Cell,1,TVC,4,
