
Cell Distance to Image Border XYZ Img=1
 ==================== 
Cell Distance to Image Border XYZ,Unit,Category,Image,Time,Default Labels,ID,
7.19833,um,Cell,Image 1,1,ATM,1,
10.5858,um,Cell,Image 1,1,ATM,2,
7.19834,um,Cell,Image 1,1,TVC,6,
6.77491,um,Cell,Image 1,1,TVC,7,
6.77491,um,Cell,Image 1,1,TVC,8,
1.70313,um,Cell,Image 1,1,TVC,10,
