
Cell Ellipsoid Axis C
 ==================== 
Cell Ellipsoid Axis C X,Cell Ellipsoid Axis C Y,Cell Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
0.830321,-0.540886,0.134198,um,Cell,Cell Ellipsoid Axis C,1,ATM,8,
0.849628,-0.525904,0.0394617,um,Cell,Cell Ellipsoid Axis C,1,ATM,9,
-0.206477,-0.970782,0.122269,um,Cell,Cell Ellipsoid Axis C,1,TVC,1,
0.97447,0.204346,0.0930139,um,Cell,Cell Ellipsoid Axis C,1,TVC,2,
0.183405,-0.846886,-0.499146,um,Cell,Cell Ellipsoid Axis C,1,TVC,4,
-0.143481,0.424766,0.893861,um,Cell,Cell Ellipsoid Axis C,1,TVC,5,
