
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
45457,47101.5,94.2656,um,Surface,Center of Homogeneous Mass,1,ATMgroup,4,
45524.9,47134,82.5814,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
