
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
0.748986,-0.625456,-0.21869,um,Surface,Ellipsoid Axis C,1,ATMgroup,0,
0.688869,-0.724884,0.00126984,um,Surface,Ellipsoid Axis C,1,TVC,4,
