
Nucleus Ellipsoid Axis Length A
 ==================== 
Nucleus Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,CellID,ID,
3.28159,um,Nucleus,1,ATM,0,100000000,
2.40986,um,Nucleus,1,ATM,1,100000001,
1.68824,um,Nucleus,1,TVC,2,100000002,
2.04327,um,Nucleus,1,TVC,3,100000003,
2.58128,um,Nucleus,1,TVC,4,100000004,
2.54973,um,Nucleus,1,TVC,5,100000005,
