
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
47779.7,89781.8,-39.0675,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
47753.9,89754.5,-13.4591,um,Surface,Center of Homogeneous Mass,1,TVCgroup,1,
