
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,Default Labels,ID,
0.191113,,Cell,1,TVC,0,
0.30734,,Cell,1,TVC,1,
0.573734,,Cell,1,TVC,2,
0.339613,,Cell,1,TVC,3,
0.245615,,Cell,1,ATM,4,
0.420881,,Cell,1,ATM,5,
