
Cell Nucleus to Cytoplasm Volume Ratio
 ==================== 
Cell Nucleus to Cytoplasm Volume Ratio,Unit,Category,Time,Default Labels,ID,
0.0783928,,Cell,1,TVC,0,
0.0327694,,Cell,1,TVC,1,
0.092324,,Cell,1,ATM,3,
0.101038,,Cell,1,ATM,4,
0.116588,,Cell,1,ATM,6,
