
Cell Ellipsoid Axis Length A
 ==================== 
Cell Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
4.50711,um,Cell,1,TVC,0,
7.46463,um,Cell,1,TVC,1,
5.5721,um,Cell,1,TVC,2,
6.22066,um,Cell,1,TVC,3,
5.48619,um,Cell,1,TVC,4,
8.01119,um,Cell,1,TVC,5,
7.118,um,Cell,1,TVC,6,
