
Nucleus Position
 ==================== 
Nucleus Position X,Nucleus Position Y,Nucleus Position Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
33660.7,90050.1,207.697,um,Nucleus,Nucleus Position,1,ATM,0,100000006,
33602.3,90051.7,184.237,um,Nucleus,Nucleus Position,1,TVC,1,100000000,
33619.1,90047.5,190.711,um,Nucleus,Nucleus Position,1,TVC,2,100000001,
33611.7,90052.3,187.177,um,Nucleus,Nucleus Position,1,TVC,3,100000002,
33599.3,90053.9,193.096,um,Nucleus,Nucleus Position,1,TVC,4,100000003,
33606.3,90052.1,196.054,um,Nucleus,Nucleus Position,1,TVC,5,100000004,
33608.9,90046.9,198.036,um,Nucleus,Nucleus Position,1,TVC,6,100000005,
