
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
13.4088,um,Surface,1,TVCgroup,0,
8.47749,um,Surface,1,ATMgroup,3,
