
Cell Ellipsoid Axis C
 ==================== 
Cell Ellipsoid Axis C X,Cell Ellipsoid Axis C Y,Cell Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
0.390168,0.226032,0.892568,um,Cell,Cell Ellipsoid Axis C,1,ATM,11,
-0.604792,-0.689552,0.398427,um,Cell,Cell Ellipsoid Axis C,1,ATM,12,
-0.716876,-0.696953,-0.0185952,um,Cell,Cell Ellipsoid Axis C,1,ATM,13,
0.596261,0.0276414,0.802315,um,Cell,Cell Ellipsoid Axis C,1,TVC,0,
-0.129507,0.0678228,0.989256,um,Cell,Cell Ellipsoid Axis C,1,TVC,1,
0.784779,-0.573685,0.234538,um,Cell,Cell Ellipsoid Axis C,1,TVC,6,
-0.808196,0.557432,0.189973,um,Cell,Cell Ellipsoid Axis C,1,TVC,7,
