
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
7.36415,um,Surface,1,ATMgroup,0,
6.99295,um,Surface,1,TVCgroup,2,
