
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
47121.2,67347.4,48.5717,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,4,
47077.8,67424.7,67.7332,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,0,
