
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,Default Labels,ID,
0.575181,,Cell,1,TVC,0,
0.510374,,Cell,1,TVC,1,
0.502752,,Cell,1,TVC,2,
0.557265,,Cell,1,ATM,3,
0.515031,,Cell,1,ATM,4,
0.539158,,Cell,1,TVC,5,
