
Cell Ellipsoid Axis Length B
 ==================== 
Cell Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
7.82548,um,Cell,1,TVC,1,
8.56786,um,Cell,1,TVC,2,
5.82575,um,Cell,1,TVC,3,
6.36912,um,Cell,1,TVC,4,
7.53723,um,Cell,1,ATM,8,
8.18949,um,Cell,1,ATM,9,
