
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
36227.5,75072.9,-44.1336,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
36169.5,75007.7,-8.3472,um,Surface,Center of Homogeneous Mass,1,TVCgroup,2,
