
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
17.1719,26.7578,93.6016,um,Surface,BoundingBoxOO Length,1,ATMgroup,3,
16.4688,22.2891,38.2344,um,Surface,BoundingBoxOO Length,1,TVCgroup,0,
