
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,Default Labels,ID,
0.541215,,Cell,1,TVC,0,
0.267268,,Cell,1,TVC,1,
0.517326,,Cell,1,TVC,2,
0.476062,,Cell,1,TVC,3,
0.194977,,Cell,1,ATM,8,
0.282695,,Cell,1,ATM,9,
