
Nucleus Relative To Cell Distance from Origin
 ==================== 
Nucleus Relative To Cell Distance from Origin,Unit,Category,Collection,Time,Default Labels,CellID,ID,
5.52601,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,5,100000005,
0.660984,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,6,100000006,
1.17446,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,9,100000009,
4.12769,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,11,100000011,
2.83161,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,8,100000008,
3.48204,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,10,100000010,
