
Nucleus Ellipsoid Axis Length B
 ==================== 
Nucleus Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,CellID,ID,
2.89337,um,Nucleus,1,TVC,0,100000000,
2.92638,um,Nucleus,1,TVC,1,100000001,
3.3141,um,Nucleus,1,TVC,2,100000002,
3.37725,um,Nucleus,1,TVC,3,100000003,
5.03987,um,Nucleus,1,ATM,4,100000004,
3.2208,um,Nucleus,1,ATM,5,100000005,
3.32178,um,Nucleus,1,ATM,6,100000006,
