
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
32574.8,58819.6,55.8643,um,Cell,Cell Center of Homogeneous Mass,1,ATM,0,
32599.9,58850.1,58.7081,um,Cell,Cell Center of Homogeneous Mass,1,ATM,1,
32594.2,58797.4,76.801,um,Cell,Cell Center of Homogeneous Mass,1,TVC,4,
32586.3,58806.2,83.3569,um,Cell,Cell Center of Homogeneous Mass,1,TVC,5,
32600.1,58795.9,87.8799,um,Cell,Cell Center of Homogeneous Mass,1,TVC,6,
32594.4,58805,87.013,um,Cell,Cell Center of Homogeneous Mass,1,TVC,7,
