
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
38638.1,62731.7,-3.99119,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,4,
38639.2,62795.2,-39.6232,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,0,
