
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.325711,0.221487,-0.91916,um,Surface,Ellipsoid Axis A,1,ATMgroup,0,
-0.472409,-0.879529,-0.0570934,um,Surface,Ellipsoid Axis A,1,TVCgroup,2,
