
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
33760.7,35796.6,5.81084,um,Surface,2,Center of Image Mass,Image 1,1,ATM,6,
33771.5,35828.8,-16.4405,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,0,
