
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
42416.6,67598.7,144.958,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,0,
42436.4,67563.1,148.709,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,1,
