
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,Default Labels,ID,
0.127004,,Cell,1,ATM,0,
0.464363,,Cell,1,TVC,4,
0.307092,,Cell,1,TVC,6,
0.629015,,Cell,1,TVC,8,
0.488741,,Cell,1,TVC,9,
