
Nucleus Volume
 ==================== 
Nucleus Volume,Unit,Category,Time,Default Labels,CellID,ID,
363.974,um^3,Nucleus,1,ATM,0,100000000,
446.537,um^3,Nucleus,1,TVC,6,100000006,
188.199,um^3,Nucleus,1,TVC,7,100000007,
133.009,um^3,Nucleus,1,TVC,8,100000008,
98.5706,um^3,Nucleus,1,TVC,9,100000009,
71.5729,um^3,Nucleus,1,TVC,10,100000010,
