
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
44028.6,45836.1,197.97,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
43977,45809.5,163.563,um,Surface,Center of Homogeneous Mass,1,TVCgroup,2,
