
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
14.649,um,Surface,1,TVCgroup,0,
61.7944,um,Surface,1,ATMgroup,4,
