
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
45932.9,63151.1,-59.4849,um,Surface,Center of Homogeneous Mass,1,ATMgroup,4,
46004.9,63191,-18.2747,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
