
Cell Ellipsoid Axis Length B
 ==================== 
Cell Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
7.83017,um,Cell,1,TVC,1,
8.45862,um,Cell,1,TVC,2,
7.21054,um,Cell,1,ATM,3,
7.85642,um,Cell,1,ATM,4,
