
Nucleus Center of Image Mass Ch=2 Img=1
 ==================== 
Nucleus Center of Image Mass X,Nucleus Center of Image Mass Y,Nucleus Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,CellID,ID,
47754,68981.8,-30.4391,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,ATM,0,100000000,
47732.7,68947.5,-27.2495,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,ATM,1,100000001,
47791.8,69000.6,-5.21701,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,2,100000002,
47782.1,69008,-0.569142,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,3,100000003,
47792.3,69009,3.12534,um,Nucleus,2,Nucleus Center of Image Mass,Image 1,1,TVC,4,100000004,
