
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
42.7383,um,Surface,1,ATMgroup,0,
19.9902,um,Surface,1,TVCgroup,2,
