
Cell Distance to Image Border XYZ Img=1
 ==================== 
Cell Distance to Image Border XYZ,Unit,Category,Image,Time,Default Labels,ID,
3.38745,um,Cell,Image 1,1,TVC,1,
4.23431,um,Cell,Image 1,1,TVC,2,
7.62177,um,Cell,Image 1,1,ATM,3,
7.62177,um,Cell,Image 1,1,ATM,4,
4.65775,um,Cell,Image 1,1,ATM,5,
