
Nucleus BoundingBoxOO Length
 ==================== 
Nucleus BoundingBoxOO Length A,Nucleus BoundingBoxOO Length B,Nucleus BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,CellID,ID,
8.72762,9.26752,12.1842,um,Nucleus,Nucleus BoundingBoxOO Length,1,ATM,3,100000003,
7.09954,8.89011,11.4294,um,Nucleus,Nucleus BoundingBoxOO Length,1,ATM,4,100000004,
8.23572,9.48885,12.78,um,Nucleus,Nucleus BoundingBoxOO Length,1,ATM,5,100000005,
3.61534,4.56793,6.84495,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,1,100000000,
3.54066,4.67764,6.85117,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,2,100000001,
