
Cell Cytoplasm Area
 ==================== 
Cell Cytoplasm Area,Unit,Category,Time,Default Labels,ID,
1492.33,um^2,Cell,1,TVC,0,
871.568,um^2,Cell,1,TVC,1,
1007.85,um^2,Cell,1,TVC,2,
1715.68,um^2,Cell,1,TVC,3,
4259.19,um^2,Cell,1,ATM,4,
4372.03,um^2,Cell,1,ATM,5,
