
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
14.6592,22.741,89.2852,um,Surface,BoundingBoxOO Length,1,ATMgroup,4,
16.481,26.5332,32.2227,um,Surface,BoundingBoxOO Length,1,TVCgroup,0,
