
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,Default Labels,ID,
0.448136,,Cell,1,TVC,6,
0.475938,,Cell,1,TVC,9,
0.537696,,Cell,1,TVC,10,
0.537598,,Cell,1,TVC,11,
0.344393,,Cell,1,ATM,12,
0.305411,,Cell,1,ATM,13,
