
Nucleus Ellipticity (oblate)
 ==================== 
Nucleus Ellipticity (oblate),Unit,Category,Time,Default Labels,CellID,ID,
0.399773,,Nucleus,1,TVC,0,100000000,
0.288504,,Nucleus,1,TVC,1,100000001,
0.48818,,Nucleus,1,TVC,2,100000002,
0.212935,,Nucleus,1,TVC,5,100000005,
0.584102,,Nucleus,1,ATM,9,100000009,
0.534245,,Nucleus,1,ATM,11,100000011,
