
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,Default Labels,ID,
0.396982,,Cell,1,TVC,0,
0.420594,,Cell,1,TVC,1,
0.430609,,Cell,1,TVC,2,
0.341629,,Cell,1,ATM,7,
0.315838,,Cell,1,ATM,8,
