
Cell Nucleus to Cytoplasm Volume Ratio
 ==================== 
Cell Nucleus to Cytoplasm Volume Ratio,Unit,Category,Time,Default Labels,ID,
0.118701,,Cell,1,TVC,0,
0.132505,,Cell,1,TVC,1,
0.10508,,Cell,1,TVC,2,
0.0897172,,Cell,1,ATM,3,
0.123626,,Cell,1,TVC,4,
0.0937826,,Cell,1,ATM,5,
