
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,Default Labels,ID,
0.513378,,Cell,1,TVC,2,
0.482686,,Cell,1,TVC,5,
0.431611,,Cell,1,ATM,6,
0.447859,,Cell,1,ATM,7,
0.372344,,Cell,1,ATM,8,
