
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,Default Labels,ID,
0.505962,,Cell,1,TVC,0,
0.577026,,Cell,1,TVC,1,
0.542327,,Cell,1,TVC,2,
0.514649,,Cell,1,TVC,3,
0.527936,,Cell,1,ATM,5,
0.526078,,Cell,1,ATM,6,
