
Cell Ellipsoid Axis B
 ==================== 
Cell Ellipsoid Axis B X,Cell Ellipsoid Axis B Y,Cell Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
-0.384538,0.033327,0.922507,um,Cell,Cell Ellipsoid Axis B,1,ATM,0,
0.390802,-0.402734,-0.827695,um,Cell,Cell Ellipsoid Axis B,1,ATM,1,
0.164286,-0.37894,0.910722,um,Cell,Cell Ellipsoid Axis B,1,TVC,2,
-0.116427,-0.332345,-0.935944,um,Cell,Cell Ellipsoid Axis B,1,TVC,3,
0.0199498,-0.0832685,-0.996327,um,Cell,Cell Ellipsoid Axis B,1,TVC,4,
-0.306172,0.219874,-0.926236,um,Cell,Cell Ellipsoid Axis B,1,TVC,5,
