
Cell Cytoplasm Area
 ==================== 
Cell Cytoplasm Area,Unit,Category,Time,Default Labels,ID,
4455.2,um^2,Cell,1,ATM,0,
5061.81,um^2,Cell,1,ATM,1,
1420.56,um^2,Cell,1,TVC,2,
1781.07,um^2,Cell,1,TVC,3,
905.146,um^2,Cell,1,TVC,4,
806.703,um^2,Cell,1,TVC,5,
