
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
53.6291,102.151,25.0106,um,Surface,BoundingBoxAA Length,1,ATMgroup,0,
40.2928,27.2402,33.9127,um,Surface,BoundingBoxAA Length,1,TVCgroup,2,
