
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
21.919,25.718,110.679,um,Surface,BoundingBoxOO Length,1,ATMgroup,0,
17.0092,34.312,42.0172,um,Surface,BoundingBoxOO Length,1,TVCgroup,2,
