
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
33336,55341.9,-69.884,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
33290.5,55286.4,-38.3822,um,Surface,Center of Homogeneous Mass,1,TVCgroup,2,
