
Nucleus BoundingBoxOO Length
 ==================== 
Nucleus BoundingBoxOO Length A,Nucleus BoundingBoxOO Length B,Nucleus BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,CellID,ID,
7.19804,10.8942,14.1128,um,Nucleus,Nucleus BoundingBoxOO Length,1,ATM,1,100000000,
3.74975,7.5635,9.27276,um,Nucleus,Nucleus BoundingBoxOO Length,1,ATM,2,100000001,
6.64768,12.8699,17.0501,um,Nucleus,Nucleus BoundingBoxOO Length,1,ATM,3,100000002,
3.81554,6.68343,7.5204,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,0,100000003,
