
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
40447.3,63245.5,142.222,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
40398,63240.3,165.936,um,Surface,Center of Homogeneous Mass,1,TVCgroup,1,
