
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
45507.3,46710.5,24.4597,um,Cell,Cell Center of Homogeneous Mass,1,ATM,4,
45494.1,46732.9,25.07,um,Cell,Cell Center of Homogeneous Mass,1,ATM,5,
45559.6,46685.4,1.84455,um,Cell,Cell Center of Homogeneous Mass,1,TVC,0,
45549.7,46686.7,5.39861,um,Cell,Cell Center of Homogeneous Mass,1,TVC,1,
