
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
77.5254,64.9844,18.2076,um,Surface,BoundingBoxAA Length,1,ATMgroup,0,
26.9766,36.0234,18.2076,um,Surface,BoundingBoxAA Length,1,TVCgroup,2,
